data_category,prefecture_code,police_station_code,report_id,accident_details_code,fatalities,injured_persons,route_code,location_code,municipality_code,occurence_year,occurence_month,occurence_date,occurence_hour,occurence_minute,day_night_code,sunrise_hour,sunrise_minute,sunset_hour,sunset_minute,weather_code,terrain_code,road_condition_code,road_config_code,traffic_signal_code,stop_reg_signage_code_party_a,stop_reg_roadmarking_code_party_a,stop_reg_signage_code_party_b,stop_reg_roadmarking_code_party_b,road_width_code,road_alignment_code,collision_point_code,zone_reg_code,median_facility_code,pedestrian_vehicle_separation_code,accident_type_code,age_party_a,age_party_b,party_type_code_party_a,party_type_code_party_b,vehicle_use_code_party_a,vehicle_use_code_party_b,vehicle_shape_code_party_a,vehicle_shape_code_party_b,auto_transm_code_party_a,auto_transm_code_party_b,safety_feature_code_party_a,safety_feature_code_party_b,speed_reg_code_party_a,speed_reg_code_party_b,vehicle_impact_point_code_party_a,vehicle_impact_point_code_party_b,vehicle_damage_level_party_a,vehicle_damage_level_party_b,airbag_code_party_a,airbag_code_party_b,side_airbag_code_party_a,side_airbag_code_party_b,injury_severity_code_party_a,injury_severity_code_party_b,latitude_north,longitude_east,occurence_day_code,public_holiday_code,days_since_cognitive_test_party_a,days_since_cognitive_test_party_b,driving_practice_method_code_party_a,driving_practice_method_code_party_b
1,97,102,8,2,0,2,32100,0,210,2024,1,16,17,17,13,7,18,17,59,1,1,1,1,7,9,22,9,22,17,9,30,70,1,2,21,45,75,3,4,1,31,1,1,1,1,11,11,3,10,70,50,3,3,2,2,2,2,4,4,260854485,1273946814,3,3,9999,81,5,9
1,97,102,10,2,0,1,99000,0,210,2024,1,27,20,50,22,7,16,18,8,3,1,2,0,7,0,0,0,0,0,0,20,70,0,4,21,55,55,3,3,1,1,1,1,1,1,11,11,10,10,70,60,3,3,2,2,2,2,4,2,260853585,1274022382,7,3,9999,9999,9,1
1,97,103,2,2,0,1,5070,0,350,2024,1,3,11,5,12,7,17,17,50,1,1,1,14,7,0,0,0,0,4,9,1,70,4,2,21,65,35,4,32,31,31,1,0,1,0,11,11,10,3,21,10,2,2,1,0,2,0,4,2,261124176,1274231100,4,3,9999,9999,9,1
1,97,103,5,2,0,1,3290,691,350,2024,1,9,17,30,13,7,18,17,54,3,1,2,1,7,9,22,9,22,18,9,30,70,4,2,21,25,55,3,34,31,31,1,0,1,0,11,11,4,4,70,10,3,3,2,0,2,0,4,2,261147220,1274352644,3,3,9999,9999,1,9
1,97,103,7,2,0,1,3290,671,350,2024,1,5,18,27,21,7,18,17,51,1,2,1,1,7,9,22,9,22,14,9,30,70,5,2,21,25,55,4,4,31,31,1,1,1,1,11,11,10,3,10,40,1,1,2,2,2,2,4,4,261208924,1274447756,6,3,9999,9999,1,9
1,97,103,8,2,0,1,3310,502,348,2024,1,1,21,39,22,7,17,17,48,1,1,1,1,7,9,22,9,22,18,9,30,70,4,2,21,75,1,14,31,31,31,11,0,2,0,11,11,10,4,50,10,2,2,2,0,2,0,4,2,261151378,1274600754,2,1,280,9999,9,1
1,97,103,10,2,0,1,5070,0,350,2024,1,12,20,10,22,7,18,17,56,1,1,1,14,7,0,0,0,0,3,9,1,70,4,2,1,65,35,14,61,31,0,11,0,2,0,11,0,10,0,30,0,4,0,2,0,2,0,4,2,261108380,1274241126,6,3,9999,0,1,0
1,97,103,11,2,0,1,33500,0,350,2024,1,5,13,55,12,7,18,17,51,1,1,1,1,7,9,22,9,22,15,9,30,70,5,4,21,25,35,3,36,31,31,1,0,1,0,11,11,10,10,20,10,3,3,2,0,2,0,4,2,261132176,1274242721,6,3,9999,9999,1,1
1,97,103,12,2,0,1,33640,0,350,2024,1,20,15,25,12,7,18,18,3,1,3,1,1,7,1,21,1,21,15,9,30,70,4,2,21,65,75,3,34,31,31,1,0,1,0,11,11,10,10,80,30,3,3,2,0,2,0,4,2,261059002,1274406198,7,3,9999,140,9,9
1,97,103,13,2,0,1,33500,0,350,2024,1,17,16,38,12,7,18,18,0,1,1,1,7,1,0,0,0,0,4,7,1,70,4,2,21,55,35,4,14,31,31,1,11,1,1,11,11,10,10,10,30,3,3,2,2,2,2,4,2,261130595,1274249324,4,3,9999,9999,9,3
1,97,103,14,2,0,1,27410,0,350,2024,1,1,23,10,22,7,17,17,48,1,1,1,1,1,9,22,0,0,18,9,30,70,5,2,1,25,35,4,61,31,0,1,0,1,0,11,0,3,0,50,0,2,0,2,0,2,0,4,2,261212607,1274336710,2,1,9999,0,1,0
1,97,103,15,2,0,1,10860,0,215,2024,1,22,17,40,13,7,17,18,4,2,2,1,1,7,9,22,9,22,14,6,30,70,4,2,21,25,1,3,36,31,31,1,0,1,0,11,11,10,10,80,40,3,3,2,0,2,0,4,2,261032974,1274454938,2,3,9999,9999,5,1
1,97,103,16,2,0,1,33500,0,350,2024,1,2,16,38,12,7,17,17,49,1,1,1,1,7,9,22,9,22,15,9,30,70,5,2,21,35,55,3,14,31,31,1,11,1,1,11,11,10,10,40,50,3,3,2,2,2,2,2,4,261117556,1274239805,3,3,9999,9999,1,9
1,97,103,17,2,0,1,27400,0,350,2024,1,15,8,22,12,7,18,17,59,1,1,1,7,7,0,0,0,0,4,8,1,70,4,2,21,35,45,3,3,31,31,1,1,1,1,11,11,10,3,50,10,3,3,2,2,2,2,4,2,261216664,1274335122,2,3,9999,9999,9,1
1,97,104,8,2,0,2,3300,121,205,2024,1,11,19,11,22,7,18,17,56,1,1,1,14,2,0,0,0,0,5,9,1,70,4,2,21,25,25,4,4,31,31,1,1,1,1,11,11,3,3,10,30,3,3,2,2,2,2,4,2,261533196,1274530571,5,3,9999,9999,1,1
1,97,104,10,2,0,1,33280,0,328,2024,1,5,23,31,22,7,18,17,51,1,1,1,1,1,9,22,9,22,15,9,30,70,5,2,21,1,25,3,4,31,31,1,1,1,1,11,11,3,3,10,40,2,2,2,2,2,2,4,2,261500256,1274626166,6,3,9999,9999,1,1
1,97,104,13,2,0,2,32050,0,205,2024,1,15,11,48,12,7,18,17,59,1,1,1,1,7,1,21,9,22,11,6,30,70,5,3,21,25,1,3,34,31,31,1,0,1,0,11,11,10,2,80,14,3,3,2,0,2,0,4,2,261535114,1274356309,2,3,9999,9999,1,5
